REG_ANS,operadora,nome_fantasia,uf,cidade,grupo_comparacao
307751,FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,COMPESAPREV,PE,Recife,Fundação de previdência
315567,FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG,FUNDAFFEMG,MG,Belo Horizonte,Fundação de previdência
346926,FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA,FUNDAÇÃO ASSEFAZ,DF,Brasília,Fundação de previdência
315044,FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,FUNDAÇÃO CELESC,SC,Florianópolis,Fundação de previdência
315478,FUNDAÇÃO CESP,VIVEST,SP,São Paulo,Fundação de previdência
355151,FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,FUNDAÇÃO COPEL,PR,Curitiba,Fundação de previdência
339636,FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES,FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES,RJ,Rio de Janeiro,Fundação de previdência
420701,FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL,FAS/AMP/RS,RS,Porto Alegre,Fundação de previdência
330809,FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST,FUNSSEST,ES,Serra,Fundação de previdência
418285,FUNDAÇÃO FIAT SAÚDE E BEM ESTAR,STELLANTIS SAUDE MG,MG,Betim,Outras autogestões
378216,FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL,FUNDAÇÃO LIBERTAS,MG,Belo Horizonte,Fundação de previdência
338648,FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL,FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL,PR,Curitiba,Fundação de previdência
312126,FUNDAÇÃO SAÚDE ITAÚ,FUNDAÇÃO SAÚDE ITAÚ,MG,Belo Horizonte,Fundação de previdência
418129,FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO,FAMEH/MP,MS,Campo Grande,Outras autogestões
414689,FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC,FAMED,CE,Fortaleza,Outras autogestões
323080,GEAP AUTOGESTÃO EM SAÚDE,GEAP,DF,Brasília,Outras autogestões
416819,GKN DO BRASIL LTDA,,RS,Porto Alegre,Outras autogestões
421626,HOSPITAL MATER DEI SA ,,MG,Belo Horizonte,Outras autogestões
329282,INDUSTRIAS NUCLEARES DO BRASIL S/A - INB,INDUSTRIAS NUCLEARES DO BRASIL S/A - INB,RJ,Rio de Janeiro,Outras autogestões
419427,INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM,IBCM,RS,Porto Alegre,Outras autogestões
419010,INSTITUTO CURITIBA DE SAÚDE,INSTITUTO CURITIBA DE SAÚDE - ICS,PR,Curitiba,Outras autogestões
366234,ITAIPU BINACIONAL,ITAIPU BINACIONAL,PR,Foz do Iguaçu,Outras autogestões
418374,LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,LUMINAR SAÚDE,DF,Brasília,Outras autogestões
412490,LÍDER COMÉRCIO E INDÚSTRIA LTDA.,PROGRAMA DE ASSISTÊNCIA MÉDICA LÍDER,PA,Belém,Outras autogestões
380661,METRUS INSTITUTO DE SEGURIDADE SOCIAL,METRUS INSTITUTO DE SEGURIDADE SOCIAL,SP,São Paulo,Outras autogestões
416703,MINERAÇÃO CARAÍBA S/A,MINERAÇÃO CARAÍBA,BA,Jaguarari,Outras autogestões
418650,MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO,MÚTUA DOS MAGISTRADOS,RJ,Rio de Janeiro,Outras autogestões
352888,NUCLEBRÁS EQUIPAMENTOS PESADOS S/A - NUCLEP,NUCLEP,RJ,Rio de Janeiro,Outras autogestões
331988,PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE,PASA,RJ,Rio de Janeiro,PASA
419133,POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS,POSTAL SAÚDE,DF,Brasília,Outras autogestões
418862,RBS PARTICIPAÇÕES S/A,,RS,Porto Alegre,Outras autogestões
331317,REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,,RJ,Rio de Janeiro,Fundação de previdência
423513,REAL GRANDEZA SAÚDE,,RJ,Rio de Janeiro,Outras autogestões
324493,S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL,SISTEMA PAULISTA DE ASSISTÊNCIA SAÚDE,SP,São Paulo,Outras autogestões
409243,SAUDE PAS - MEDICINA E ODONTO,SAUDE PAS,RS,Porto Alegre,Outras autogestões
414310,SAÚDE BRB - CAIXA DE ASSISTÊNCIA ,SAÚDE BRB,DF,Brasília,Outras autogestões
424188,SERV SOCIAL AUTÔNOMO DE ASSIST À SAÚDE DOS SERV PÚBLICOS E MILITARES DE GOIÁS,IPASGO SAÚDE,GO,Goiânia,Outras autogestões
345474,SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),SERPRO,DF,Brasília,Outras autogestões
420077,"SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO",SEPACO,SP,São Paulo,Outras autogestões
356476,SIM - CAIXA DE ASSISTÊNCIA À SAÚDE,SIM,SC,Palhoça,Outras autogestões
361011,SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL,SINDIFISCO NACIONAL,DF,Brasília,Outras autogestões
411809,SOCIEDADE DE ASSISTÊNCIA MÉDICA - SAMEISA,SAMEISA ,RS,Rio Grande,Outras autogestões
316849,TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL,TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL,RJ,Rio de Janeiro,Fundação de previdência
345695,VALE S/A,VALE ,RJ,Rio de Janeiro,Outras autogestões
361461,VIVACOM PLANOS DE SAÚDE,VIVACOM,GO,Goiânia,Outras autogestões
414247,VOLVO DO BRASIL VEÍCULOS LTDA.,VOLVO,PR,Curitiba,Outras autogestões
